District,LDI,Incumbent,Status,Highlighted
1,-35,R-Safe,0,0
2,15,D-Safe,3,0
3,43,D-Safe,3,0
4,12,D-Safe,3,0
5,-42,R-Safe,0,0
6,-9,R-Safe,0,0
7,31,D-Safe,3,0
8,-6,R-Safe,0,0
9,14,D-Safe,3,0
10,9,D-Safe,3,0
11,-16,R-Safe,0,0
12,-28,R-Safe,0,0
13,-29,R-Safe,0,0
14,-23,R-Safe,0,0
15,-19,R-Safe,0,0
16,-25,R-Safe,0,0
17,-11,R-Safe,0,0
18,4,D-Safe,3,0
19,32,D-Safe,3,0
20,-8,R-Safe,0,0
21,-14,R-Safe,0,0
22,-26,R-Safe,0,0
23,-19,R-Safe,0,0
24,34,D-Safe,3,0
25,-26,R-Safe,0,0
26,21,D-Safe,3,0
27,50,D-Safe,3,0
28,1,R-Lean D,2,1
29,28,D-Safe,3,0
30,24,D-Safe,3,0
