District,LDI,Incumbent,Status,Highlighted
1,83,D-Safe,3,0
2,3,R-Lean D,2,1
3,82,D-Safe,3,0
4,80,D-Safe,3,0
5,71,D-Safe,3,0
6,73,D-Safe,3,0
7,91,WF-Safe,2,1
8,5,R-Lean D,2,1
9,30,D-Safe,3,0
10,46,D-Safe,3,0
11,43,D-Safe,3,0
12,30,D-Safe,3,0
13,21,R-Lean D,2,1
14,14,R-Lean D,2,1
15,62,D-Safe,3,0
16,6,D-Safe,3,0
17,0,R-Lean D,2,1
18,44,D-Safe,3,0
19,23,D-Safe,3,0
20,38,D-Safe,3,0
21,5,D-Safe,3,0
22,14,R-Lean D,2,1
23,9,R-Lean D,2,1
24,35,D-Safe,3,0
25,63,D-Safe,3,0
26,38,D-Safe,3,0
27,17,R-Lean D,2,1
28,9,D-Safe,3,0
29,11,D-Safe,3,0
30,-5,D-Lean R,2,1
31,5,R-Lean D,2,1
32,6,R-Lean D,2,1
33,33,D-Safe,3,0
34,0,R-Lean D,2,1
35,3,R-Lean D,2,1
36,11,R-Lean D,2,1
37,12,R-Lean D,2,1
38,9,R-Lean D,2,1
39,58,D-Safe,3,0
40,13,D-Safe,3,0
41,25,D-Safe,3,0
42,0,R-Lean D,2,1
43,13,D-Safe,3,0
44,-3,R-Lean R,1,0
45,-7,R-Safe,0,0
46,30,D-Safe,3,0
47,-3,R-Lean R,1,0
48,8,D-Safe,3,0
49,39,D-Safe,3,0
50,-4,D-Lean R,2,1
51,-7,D-Lean R,2,1
52,-10,R-Safe,0,0
53,5,R-Lean D,2,1
54,50,D-Safe,3,0
55,0,R-Lean R,1,0
56,17,D-Safe,3,0
57,-2,R-Lean R,1,0
58,11,R-Lean D,2,1
59,3,R-Lean D,2,1
60,16,R-Lean D,2,1
61,-4,R-Lean R,1,0
62,-9,R-Safe,0,0
63,-16,R-Safe,0,0
64,16,R-Lean D,2,1
65,-7,D-Lean R,2,1
66,-11,R-Safe,0,0
67,-2,R-Lean R,1,0
68,-27,R-Safe,0,0
69,-3,R-Lean R,1,0
70,-9,R-Safe,0,0
71,-14,R-Safe,0,0
72,49,D-Safe,3,0
73,13,D-Safe,3,0
74,16,R-Lean D,2,1
75,55,D-Safe,3,0
76,-19,R-Safe,0,0
77,9,R-Lean D,2,1
78,-10,R-Safe,0,0
79,15,D-Safe,3,0
80,-25,R-Safe,0,0
81,-1,R-Lean R,1,0
82,17,D-Safe,3,0
83,9,D-Safe,3,0
84,49,D-Safe,3,0
85,11,D-Safe,3,0
86,-4,R-Lean R,1,0
87,-2,R-Lean R,1,0
88,30,D-Safe,3,0
89,-10,R-Safe,0,0
90,-3,R-Lean R,1,0
91,41,D-Safe,3,0
92,79,D-Safe,3,0
93,86,D-Safe,3,0
94,76,D-Safe,3,0
95,81,D-Safe,3,0
96,60,D-Safe,3,0
97,53,D-Safe,3,0
98,19,D-Safe,3,0
99,6,D-Safe,3,0
100,31,D-Safe,3,0
101,4,R-Lean D,2,1
102,16,D-Safe,3,0
103,-1,D-Lean R,2,1
104,13,D-Safe,3,0
105,-12,R-Safe,0,0
106,-3,R-Lean R,1,0
107,-6,R-Safe,0,0
108,-8,R-Safe,0,0
109,15,D-Safe,3,0
110,36,D-Safe,3,0
111,1,R-Lean D,2,1
112,-13,R-Safe,0,0
113,-13,R-Safe,0,0
114,6,R-Lean D,2,1
115,29,D-Safe,3,0
116,59,D-Safe,3,0
117,6,R-Lean D,2,1
118,9,D-Safe,3,0
119,-2,R-Lean R,1,0
120,4,R-Lean D,2,1
121,34,D-Safe,3,0
122,-13,R-Safe,0,0
123,-6,R-Safe,0,0
124,81,D-Safe,3,0
125,-10,R-Safe,0,0
126,72,D-Safe,3,0
127,45,D-Safe,3,0
128,81,D-Safe,3,0
129,52,D-Safe,3,0
130,79,D-Safe,3,0
131,-19,R-Safe,0,0
132,5,R-Lean D,2,1
133,18,D-Safe,3,0
134,-4,R-Lean R,1,0
135,8,R-Lean D,2,1
136,24,D-Safe,3,0
137,33,D-Safe,3,0
138,2,R-Lean D,2,1
139,11,D-Safe,3,0
140,57,D-Safe,3,0
141,-7,R-Safe,0,0
142,9,R-Lean D,2,1
143,6,R-Lean D,2,1
144,14,D-Safe,3,0
145,62,D-Safe,3,0
146,36,D-Safe,3,0
147,8,D-Safe,3,0
148,38,D-Safe,3,0
149,-6,R-Safe,0,0
150,7,R-Lean D,2,1
151,-2,R-Lean R,1,0
