District,LDI,Incumbent,Status,Highlighted
18,8,R-Lean D,2,1
20,17,R-Lean D,2,1
33,5,R-Lean D,2,1
19,8,D-Safe,3,0
28,4,R-Lean D,2,1
30,-2,R-Lean R,1,0
26,7,R-Lean D,2,1
36,0,R-Lean R,1,0
32,-16,R-Safe,0,0
25,20,D-Safe D,3,0
11,53,D-Safe,3,0
16,-8,R-Safe,0,0
29,18,D-Safe,3,0
2,68,D-Safe,3,0
15,17,D-Safe,3,0
23,76,D-Safe,3,0
22,20,D-Safe,3,0
4,18,D-Safe,3,0
24,7,R-Lean D,2,1
3,23,D-Safe,3,0
10,76,D-Safe,3,0
17,15,R-Lean D,2,1
7,0,R-Lean R,1,0
34,3,R-Lean D,2,1
6,27,D-Safe,3,0
35,5,R-Lean D,2,1
1,56,D-Safe,3,0
27,28,D-Safe,3,0
31,0,R-Lean R,1,0
8,-3,R-Lean R,1,0
5,25,D-Safe,3,0
21,-6,R-Safe,0,0
9,18,D-Safe,3,0
12,9,D-Safe,3,0
13,18,R-Lean D,2,1
14,6,D-Safe,3,0
