District,LDI,Incumbent,Status,Highlighted
1,-32,R-Safe,0,0
2,-49,R-Safe,0,0
3,9,D-Safe,3,0
4,-26,R-Safe,0,0
5,-48,R-Safe,0,0
6,21,D-Safe,3,0
7,-23,R-Safe,0,0
8,0,R-Lean R,1,0
9,-4,R-Lean R,1,0
10,-32,R-Safe,0,0
11,31,D-Safe,3,0
12,-31,R-Safe,0,0
13,22,D-Safe,3,0
14,-18,R-Safe,0,0
15,22,D-Safe,3,0
16,-13,R-Safe,0,0
17,-19,R-Safe,0,0
18,6,R-Lean D,2,1
19,32,D-Safe,3,0
20,-8,R-Safe,0,0
21,-18,R-Safe,0,0
22,-7,R-Safe,0,0
23,-14,R-Safe,0,0
24,-7,R-Safe,0,0
25,-11,R-Safe,0,0
26,-30,R-Safe,0,0
27,-20,R-Safe,0,0
28,-24,R-Safe,0,0
29,13,D-Safe,3,0
30,13,D-Safe,3,0
31,25,D-Safe,3,0
32,24,D-Safe,3,0
33,60,D-Safe,3,0
34,19,D-Safe,3,0
35,64,D-Safe,3,0
36,14,R-Lean D,2,1
37,21,D-Safe,3,0
38,52,D-Safe,3,0
39,10,R-Lean D,2,1
40,18,D-Safe,3,0
