District,LDI,Incumbent,Status,Highlighted
1,51,D-Safe,3,0
2,59,D-Safe,3,0
3,68,D-Safe,3,0
4,59,D-Safe,3,0
5,59,D-Safe,3,0
6,20,D-Safe,3,0
7,1,R-Lean D,2,1
8,-16,R-Safe,0,0
9,19,D-Safe,3,0
10,-9,R-Safe,0,0
11,47,D-Safe,3,0
12,-1,R-Lean R,1,0
13,3,R-Lean D,2,1
14,-10,R-Safe,0,0
15,-5,R-Lean R,1,0
16,-20,R-Safe,0,0
17,-11,R-Safe,0,0
18,48,D-Safe,3,0
19,-14,R-Safe,0,0
20,13,R-Lean D,2,1
21,-14,R-Safe,0,0
22,-16,R-Safe,0,0
23,30,D-Safe,3,0
24,-6,R-Safe,0,0
25,-23,R-Safe,0,0
26,-14,R-Safe,0,0
27,39,D-Safe,3,0
28,-22,R-Safe,0,0
29,11,R-Lean D,2,1
30,-33,R-Safe,0,0
31,-16,R-Safe,0,0
32,1,R-Lean D,2,1
33,-13,R-Safe,0,0
34,-1,R-Lean R,1,0
35,-18,R-Safe,0,0
36,-21,R-Safe,0,0
37,-17,R-Safe,0,0
38,-9,R-Safe,0,0
