District,LDI,Incumbent,Status,Highlighted
01A,-24,R-Safe,0,0
01B,-18,R-Safe,0,0
02A,-14,R-Safe,0,0
02B,-24,R-Safe,0,0
03A,3,D-Safe,3,0
03B,15,D-Safe,3,0
04A,10,D-Safe,3,0
04B,-13,D-Lean R,2,1
05A,-3,R-Lean R,1,0
05B,-10,R-Safe,0,0
06A,13,D-Safe,3,0
06B,12,D-Safe,3,0
07A,35,D-Safe,3,0
07B,34,D-Safe,3,0
08A,-26,R-Safe,0,0
08B,-28,R-Safe,0,0
09A,-35,R-Safe,0,0
09B,-37,R-Safe,0,0
10A,-21,R-Safe,0,0
10B,-20,R-Safe,0,0
11A,14,D-Safe,3,0
11B,-17,R-Safe,0,0
12A,-16,R-Safe,0,0
12B,-36,R-Safe,0,0
13A,-25,R-Safe,0,0
13B,-25,R-Safe,0,0
14A,-7,R-Safe,0,0
14B,3,R-Lean D,2,1
15A,-27,R-Safe,0,0
15B,-39,R-Safe,0,0
16A,-18,R-Safe,0,0
16B,-28,R-Safe,0,0
17A,-19,R-Safe,0,0
17B,-13,R-Safe,0,0
18A,-28,R-Safe,0,0
18B,-33,R-Safe,0,0
19A,2,D-Safe,3,0
19B,12,D-Safe,3,0
20A,-25,R-Safe,0,0
20B,6,D-Safe,3,0
21A,-4,R-Lean R,1,0
21B,-20,R-Safe,0,0
22A,-27,R-Safe,0,0
22B,-21,R-Safe,0,0
23A,-30,R-Safe,0,0
23B,-15,R-Safe,0,0
24A,-15,R-Safe,0,0
24B,-14,R-Safe,0,0
25A,-11,R-Safe,0,0
25B,9,D-Safe,3,0
26A,18,D-Safe,3,0
26B,-12,R-Safe,0,0
27A,-3,R-Lean R,1,0
27B,7,D-Safe,3,0
28A,9,D-Safe,3,0
28B,-6,R-Safe,0,0
29A,-28,R-Safe,0,0
29B,-24,R-Safe,0,0
30A,-25,R-Safe,0,0
30B,-29,R-Safe,0,0
31A,-36,R-Safe,0,0
31B,-28,R-Safe,0,0
32A,-26,R-Safe,0,0
32B,-21,R-Safe,0,0
33A,-22,R-Safe,0,0
33B,-5,R-Lean R,1,0
34A,-14,R-Safe,0,0
34B,0,R-Lean R,1,0
35A,-11,R-Safe,0,0
35B,-18,R-Safe,0,0
36A,-2,R-Lean R,1,0
36B,10,D-Safe,3,0
37A,4,D-Safe,3,0
37B,-3,R-Lean R,1,0
38A,-10,R-Safe,0,0
38B,-3,R-Lean R,1,0
39A,-9,R-Safe,0,0
39B,-2,R-Lean R,1,0
40A,41,D-Safe,3,0
40B,38,D-Safe,3,0
41A,21,D-Safe,3,0
41B,30,D-Safe,3,0
42A,10,R-Lean D,2,1
42B,18,D-Safe,3,0
43A,15,D-Safe,3,0
43B,15,D-Safe,3,0
44A,6,R-Lean D,2,1
44B,16,D-Safe,3,0
45A,23,D-Safe,3,0
45B,33,D-Safe,3,0
46A,36,D-Safe,3,0
46B,39,D-Safe,3,0
47A,-29,R-Safe,0,0
47B,-8,R-Safe,0,0
48A,13,D-Safe,3,0
48B,4,R-Lean D,2,1
49A,17,R-Lean D,2,1
49B,13,D-Safe,3,0
50A,31,D-Safe,3,0
50B,18,D-Safe,3,0
51A,15,D-Safe,3,0
51B,11,D-Safe,3,0
52A,21,D-Safe,3,0
52B,8,R-Lean D,2,1
53A,16,D-Safe,3,0
53B,2,R-Lean D,2,1
54A,9,R-Lean D,2,1
54B,-3,R-Lean R,1,0
55A,-5,R-Lean R,1,0
55B,-23,R-Safe,0,0
56A,0,R-Lean R,1,0
56B,3,R-Lean D,2,1
57A,5,D-Safe,3,0
57B,2,R-Lean D,2,1
58A,-13,R-Safe,0,0
58B,-18,R-Safe,0,0
59A,68,D-Safe,3,0
59B,65,D-Safe,3,0
60A,60,D-Safe,3,0
60B,62,D-Safe,3,0
61A,64,D-Safe,3,0
61B,64,D-Safe,3,0
62A,77,D-Safe,3,0
62B,78,D-Safe,3,0
63A,70,D-Safe,3,0
63B,53,D-Safe,3,0
64A,61,D-Safe,3,0
64B,50,D-Safe,3,0
65A,69,D-Safe,3,0
65B,57,D-Safe,3,0
66A,39,D-Safe,3,0
66B,60,D-Safe,3,0
67A,52,D-Safe,3,0
67B,50,D-Safe,3,0
