District,LDI,Incumbent,Status,Highlighted
01,-21,R-Safe,0,0
02,-19,R-Safe,0,0
03,9,D-Safe,3,0
04,-2,D-Lean R,2,1
05,-7,R-Safe,0,0
06,12,D-Safe,3,0
07,35,D-Safe,3,0
08,-27,R-Safe,0,0
09,-36,R-Safe,0,0
10,-21,R-Safe,0,0
11,-1,D-Lean R,2,1
12,-26,R-Safe,0,0
13,-25,R-Safe,0,0
14,-2,R-Lean R,1,0
15,-33,R-Safe,0,0
16,-23,R-Safe,0,0
17,-16,R-Safe,0,0
18,-30,R-Safe,0,0
19,7,D-Safe,3,0
20,-9,R-Safe,0,0
21,-12,R-Safe,0,0
22,-24,R-Safe,0,0
23,-22,R-Safe,0,0
24,-15,R-Safe,0,0
25,-1,R-Lean R,1,0
26,1,R-Lean D,2,1
27,2,D-Safe,3,0
28,1,R-Lean D,2,1
29,-26,R-Safe,0,0
30,-27,R-Safe,0,0
31,-32,R-Safe,0,0
32,-23,R-Safe,0,0
33,-13,R-Safe,0,0
34,-7,R-Safe,0,0
35,-15,R-Safe,0,0
36,4,D-Safe,3,0
37,1,D-Safe,3,0
38,-7,R-Safe,0,0
39,-6,R-Safe,0,0
40,40,D-Safe,3,0
41,25,D-Safe,3,0
42,14,D-Safe,3,0
43,15,D-Safe,3,0
44,11,R-Lean D,2,1
45,28,D-Safe,3,0
46,38,D-Safe,3,0
47,-19,R-Safe,0,0
48,9,D-Safe,3,0
49,15,D-Safe,3,0
50,24,D-Safe,3,0
51,13,D-Safe,3,0
52,14,D-Safe,3,0
53,9,D-Safe,3,0
54,3,D-Safe,3,0
55,-15,R-Safe,0,0
56,1,R-Lean D,2,1
57,3,D-Safe,3,0
58,-15,D-Lean R,2,1
59,66,D-Safe,3,0
60,61,D-Safe,3,0
61,64,D-Safe,3,0
62,77,D-Safe,3,0
63,61,D-Safe,3,0
64,55,D-Safe,3,0
65,63,D-Safe,3,0
66,48,D-Safe,3,0
67,51,D-Safe,3,0
