District,LDI,Incumbent,Status,Highlighted
43,37,D-Safe,3,0
22,-4,D-Lean R,2,1
48,43,D-Safe,3,0
66,10,D-Safe,3,0
89,-34,R-Safe,0,0
35,-8,R-Safe,0,0
1,-14,R-Safe,0,0
92,4,D-Safe,3,0
118,-13,R-Safe,0,0
59,-18,R-Safe,0,0
82,-16,R-Safe,0,0
71,46,D-Safe,3,0
86,-21,R-Safe,0,0
68,-29,R-Safe,0,0
44,8,D-Safe,3,0
63,-10,R-Safe,0,0
60,56,D-Safe,3,0
42,47,D-Safe,3,0
113,-22,R-Safe,0,0
27,39,D-Safe,3,0
55,-15,R-Safe,0,0
65,-17,R-Safe,0,0
76,-33,R-Safe,0,0
39,17,D-Safe,3,0
57,47,D-Safe,3,0
79,-34,R-Safe,0,0
45,-8,R-Lean R,1,0
74,-20,R-Safe,0,0
20,-20,R-Safe,0,0
52,-25,R-Safe,0,0
18,24,D-Safe,3,0
40,-5,D-Lean R,2,1
117,-25,R-Safe,0,0
110,-25,R-Safe,0,0
75,-14,R-Safe,0,0
96,-27,R-Safe,0,0
49,-1,D-Lean R,2,1
115,-2,D-Lean R,2,1
21,34,D-Safe,3,0
91,-25,R-Safe,0,0
12,19,D-Safe,3,0
54,9,D-Safe,3,0
83,-18,R-Safe,0,0
51,-12,R-Safe,0,0
5,39,D-Safe,3,0
26,-17,R-Safe,0,0
7,27,D-Safe,3,0
77,-23,R-Safe,0,0
81,-33,R-Safe,0,0
93,-11,R-Safe,0,0
2,-2,R-Lean R,1,0
73,-45,R-Safe,0,0
107,58,D-Safe,3,0
85,-38,R-Safe,0,0
46,2,R-Lean D,2,1
31,65,D-Safe,3,0
87,-35,R-Safe,0,0
69,-27,R-Safe,0,0
103,-11,R-Safe,0,0
67,-31,R-Safe,0,0
111,-22,R-Safe,0,0
80,-44,R-Safe,0,0
78,-49,R-Safe,0,0
53,-13,R-Safe,0,0
14,-17,R-Safe,0,0
37,-11,R-Safe,0,0
28,-28,R-Safe,0,0
119,0,R-Lean R,1,0
32,36,D-Safe,3,0
116,-10,D-Lean R,2,1
15,-26,R-Safe,0,0
41,2,D-Safe,3,0
114,47,D-Safe,3,0
90,-33,R-Safe,0,0
50,17,D-Safe,3,0
8,-5,R-Lean R,1,0
47,32,D-Safe,3,0
25,-17,R-Safe,0,0
64,-14,R-Safe,0,0
23,33,D-Safe,3,0
10,-27,R-Safe,0,0
4,-25,R-Safe,0,0
30,43,D-Safe,3,0
9,-8,R-Safe,0,0
61,-17,R-Safe,0,0
100,45,D-Safe,3,0
105,-17,R-Safe,0,0
58,55,D-Safe,3,0
102,64,D-Safe,3,0
34,28,D-Safe,3,0
109,-17,R-Safe,0,0
17,-25,R-Safe,0,0
62,-14,R-Safe,0,0
99,63,D-Safe,3,0
38,57,D-Safe,3,0
70,-46,R-Safe,0,0
29,70,D-Safe,3,0
33,62,D-Safe,3,0
104,-14,R-Safe,0,0
36,-7,R-Safe,0,0
88,-10,D-Lean R,2,1
101,49,D-Safe,3,0
95,-32,R-Safe,0,0
13,-34,R-Safe,0,0
97,-38,R-Safe,0,0
3,-16,R-Safe,0,0
24,50,D-Safe,3,0
94,-37,R-Safe,0,0
112,-25,R-Safe,0,0
120,-31,R-Safe,0,0
16,-24,R-Safe,0,0
11,25,D-Safe,3,0
108,-23,R-Safe,0,0
72,42,D-Safe,3,0
84,-27,R-Safe,0,0
98,-16,R-Safe,0,0
106,70,D-Safe,3,0
56,53,D-Safe,3,0
6,-11,R-Safe,0,0
19,-18,R-Safe,0,0
