District,LDI,Incumbent,Status,Highlighted
1,-7,R-Safe,0,0
2,-24,R-Safe,0,0
3,34,D-Safe,3,0
4,40,D-Safe,3,0
5,31,D-Safe,3,0
6,-22,R-Safe,0,0
7,-19,R-Safe,0,0
8,-13,R-Safe,0,0
9,-8,R-Safe,0,0
10,-14,R-Safe,0,0
11,-13,R-Safe,0,0
12,-13,R-Safe,0,0
13,22,D-Safe,3,0
14,54,D-Safe,3,0
15,-4,R-Lean R,1,0
16,25,D-Safe,3,0
17,-5,R-Lean R,1,0
18,-2,R-Lean R,1,0
19,4,R-Lean D,2,1
20,52,D-Safe,3,0
21,40,D-Safe,3,0
22,28,D-Safe,3,0
23,30,D-Safe,3,0
24,-19,R-Safe,0,0
25,-8,R-Safe,0,0
26,-18,R-Safe,0,0
27,-10,R-Safe,0,0
28,63,D-Safe,3,0
29,-37,R-Safe,0,0
30,-37,R-Safe,0,0
31,-26,R-Safe,0,0
32,39,D-Safe,3,0
33,-35,R-Safe,0,0
34,-28,R-Safe,0,0
35,-29,R-Safe,0,0
36,-22,R-Safe,0,0
37,29,D-Safe,3,0
38,56,D-Safe,3,0
39,-19,R-Safe,0,0
40,62,D-Safe,3,0
41,-12,R-Safe,0,0
42,-32,R-Safe,0,0
43,-24,R-Safe,0,0
44,-32,R-Safe,0,0
45,-25,R-Safe,0,0
46,-18,R-Safe,0,0
47,-23,R-Safe,0,0
48,-20,R-Safe,0,0
49,18,D-Safe,3,0
50,-17,R-Safe,0,0
