District,LDI,Incumbent,Status,Highlighted
1,-36,R-Safe,0,0
2,-6,R-Safe,0,0
3,11,R-Lean D,2,1
4,-27,R-Safe,0,0
5,1,R-Lean D,2,1
6,-18,R-Safe,0,0
7,-29,R-Safe,0,0
8,-21,R-Safe,0,0
9,50,D-Safe,3,0
10,-18,R-Safe,0,0
11,36,D-Safe,3,0
12,-44,R-Safe,0,0
13,3,R-Lean D,2,1
14,-34,R-Safe,0,0
15,60,D-Safe,3,0
16,2,R-Lean D,2,1
17,-32,R-Safe,0,0
18,-11,R-Safe,0,0
19,-5,R-Lean R,1,0
20,-22,R-Safe,0,0
21,75,D-Safe,3,0
22,-25,R-Safe,0,0
23,27,D-Safe,3,0
24,-1,R-Lean R,1,0
25,46,D-Safe,3,0
26,-25,R-Safe,0,0
27,-12,R-Safe,0,0
28,24,D-Safe,3,0
29,-7,R-Safe,0,0
30,-18,R-Safe,0,0
31,-24,R-Safe,0,0
32,3,D-Safe,3,0
33,4,D-Safe,3,0
