District,LDI,Incumbent,Status,Highlighted
1,48,D-Safe,3,0
2,29,D-Safe,3,0
3,6,D-Safe,3,0
4,-2,R-Lean R,1,0
5,-15,R-Safe,0,0
6,-14,R-Safe,0,0
7,21,D-Safe,3,0
8,-30,R-Safe,0,0
9,5,D-Safe,3,0
10,-1,R-Lean R,1,0
11,-21,R-Safe,0,0
12,-34,R-Safe,0,0
13,-12,R-Safe,0,0
14,-13,R-Safe,0,0
15,-14,R-Safe,0,0
16,18,D-Safe,3,0
17,-13,R-Safe,0,0
18,16,R-Lean D,2,1
19,73,D-Safe,3,0
20,29,D-Safe,3,0
21,23,D-Safe,3,0
22,52,D-Safe,3,0
23,50,D-Safe,3,0
24,81,D-Safe,3,0
25,12,D-Safe,3,0
26,-9,R-Safe,0,0
27,34,D-Safe,3,0
28,-23,R-Safe,0,0
29,-6,R-Safe,0,0
30,-13,R-Safe,0,0
31,5,D-Safe,3,0
32,36,D-Safe,3,0
33,7,D-Safe,3,0
34,42,D-Safe,3,0
35,36,D-Safe,3,0
36,31,D-Safe,3,0
37,-39,R-Safe,0,0
38,12,D-Safe,3,0
39,-9,R-Safe,0,0
40,-22,R-Safe,0,0
41,-12,R-Safe,0,0
42,14,D-Safe,3,0
43,-25,R-Safe,0,0
44,-10,R-Safe,0,0
45,12,D-Safe,3,0
46,-2,R-Lean R,1,0
47,-11,R-Safe,0,0
48,0,D-Lean R,#N/A,#N/A
49,12,R-Lean D,2,1
50,11,D-Safe,3,0
51,-1,R-Lean R,1,0
52,-3,R-Lean R,1,0
53,-2,R-Lean R,1,0
54,-19,R-Safe,0,0
55,-7,D-Lean R,#N/A,#N/A
56,-20,R-Safe,0,0
57,-16,R-Safe,0,0
58,0,R-Lean D,2,1
59,-23,R-Safe,0,0
60,-26,R-Safe,0,0
61,4,R-Lean D,2,1
62,-6,R-Safe,0,0
63,-28,R-Safe,0,0
64,-22,R-Safe,0,0
65,-18,R-Safe,0,0
66,-33,R-Safe,0,0
67,-31,R-Safe,0,0
68,-37,R-Safe,0,0
69,-32,R-Safe,0,0
70,26,D-Safe,3,0
71,5,D-Safe,3,0
72,-2,D-Lean R,#N/A,#N/A
73,-7,R-Safe,0,0
74,26,R-Lean D,2,1
75,-16,R-Safe,0,0
76,-8,D-Lean R,#N/A,#N/A
