District,LDI,Incumbent,Status,Highlighted
1,-8,R-Safe,0,0
2,-17,R-Safe,0,0
3,-15,R-Safe,0,0
4,-9,R-Safe,0,0
5,-18,R-Safe,0,0
6,-22,R-Safe,0,0
7,10,D-Safe,3,0
8,63,D-Safe,3,0
9,43,D-Safe,3,0
10,77,D-Safe,3,0
11,70,D-Safe,3,0
12,56,D-Safe,3,0
13,-17,R-Safe,0,0
14,-15,R-Safe,0,0
15,-15,R-Safe,0,0
16,79,D-Safe,3,0
17,70,D-Safe,3,0
18,76,D-Safe,3,0
19,41,D-Safe,3,0
20,14,D-Safe,3,0
21,-9,R-Safe,0,0
22,-30,R-Safe,0,0
23,-19,R-Safe,0,0
24,-17,R-Safe,0,0
25,-14,R-Safe,0,0
26,-17,R-Safe,0,0
27,-16,R-Safe,0,0
28,-16,R-Safe,0,0
29,-9,R-Safe,0,0
30,-9,R-Safe,0,0
31,-13,R-Safe,0,0
32,-26,R-Safe,0,0
33,-24,R-Safe,0,0
34,-17,R-Safe,0,0
35,-15,R-Safe,0,0
36,-17,R-Safe,0,0
37,-14,R-Safe,0,0
38,-21,R-Safe,0,0
39,-24,R-Safe,0,0
40,-20,R-Safe,0,0
41,-13,R-Safe,0,0
42,-6,R-Safe,0,0
43,11,D-Safe,3,0
44,23,D-Safe,3,0
45,19,D-Safe,3,0
46,24,D-Safe,3,0
47,42,D-Safe,3,0
48,54,D-Safe,3,0
49,2,R-Lean D,2,1
50,-4,R-Safe,0,0
51,-9,R-Lean D,2,1
52,-16,R-Safe,0,0
53,-19,R-Safe,0,0
54,7,D-Safe,3,0
55,-12,R-Safe,0,0
56,-20,R-Safe,0,0
57,10,D-Safe,3,0
58,-42,R-Safe,0,0
59,-43,R-Safe,0,0
60,-40,R-Safe,0,0
61,-18,R-Safe,0,0
62,-14,R-Safe,0,0
63,-18,R-Safe,0,0
64,12,D-Safe,3,0
65,26,D-Safe,3,0
66,43,D-Safe,3,0
67,-11,R-Safe,0,0
68,-5,R-Lean R,1,0
69,-19,R-Safe,0,0
70,-9,R-Safe,0,0
71,10,D-Safe,3,0
72,-8,R-Safe,0,0
73,16,D-Safe,3,0
74,11,D-Safe,3,0
75,-12,R-Safe,0,0
76,64,D-Safe,3,0
77,65,D-Safe,3,0
78,44,D-Safe,3,0
79,21,D-Safe,3,0
80,25,D-Safe,3,0
81,15,D-Safe,3,0
82,-18,R-Safe,0,0
83,-40,R-Safe,0,0
84,-19,R-Safe,0,0
85,-3,R-Lean R,1,0
86,-19,R-Safe,0,0
87,-19,R-Safe,0,0
88,-8,R-Safe,0,0
89,-18,R-Safe,0,0
90,17,D-Safe,3,0
91,17,D-Safe,3,0
92,1,R-Lean D,2,1
93,-9,R-Safe,0,0
94,-3,D-Lean R,2,1
95,23,D-Safe,3,0
96,2,R-Lean D,2,1
97,-27,R-Safe,0,0
98,-37,R-Safe,0,0
99,-49,R-Safe,0,0
