District,LDI,Incumbent,Status,Highlighted
1,-13,R-Safe,0,0
2,-16,R-Safe,0,0
3,30,D-Safe,3,0
4,68,D-Safe,3,0
5,-16,R-Safe,0,0
6,74,D-Safe,3,0
7,16,D-Safe,3,0
8,-22,R-Safe,0,0
9,-16,R-Safe,0,0
10,-11,D-Lean R,2,1
11,-21,R-Safe,0,0
12,-16,R-Safe,0,0
13,-20,R-Safe,0,0
14,-13,R-Safe,0,0
15,17,D-Safe,3,0
16,41,D-Safe,3,0
17,2,R-Lean D,2,1
18,-10,R-Safe,0,0
19,-8,R-Safe,0,0
20,-41,R-Safe,0,0
21,-16,R-Safe,0,0
22,26,D-Safe,3,0
23,-11,R-Safe,0,0
24,-2,R-Lean R,1,0
25,5,D-Safe,3,0
26,58,D-Safe,3,0
27,21,D-Safe,3,0
28,-26,R-Safe,0,0
29,-14,R-Safe,0,0
30,-5,D-Lean R,2,1
31,3,D-Safe,3,0
32,7,D-Safe,3,0
33,-39,R-Safe,0,0
